pdidx,other_indie_consoles,fixed,,
270,Anbernic systems (RG552 ect),,,
271,,,,
272,Retroid Pocket,,,
273,,,,
274,,,,
275,,,,
276,Arduboy,,,
276,Anbernic systems (RG552 ect),,,
277,Arduboy,,,
277,PiBoy DMG,Other,,
277,Analogue Pocket,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,Arduboy,,,
284,Anbernic systems (RG552 ect),,,
284,Retroid Pocket,,,
284,Miyoo Mini,Miyoo Mini,,
284,Clockwork Gameshell,ClockworkPi,,
284,too many to list,Other,,
285,Arduboy,,,
285,Anbernic systems (RG552 ect),,,
286,Anbernic systems (RG552 ect),,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,Funkey-S,Funkey S,,
294,,,,
295,,,,
296,,,,
297,Anbernic systems (RG552 ect),,,
297,Powkiddy Max 2,Other,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,Arduboy,,,
304,Anbernic systems (RG552 ect),,,
305,,,,
306,Anbernic systems (RG552 ect),,,
306,Ouya,OUYA,,
307,Retroid Pocket,,,
308,,,,
309,,,,
310,Pocket CHIP,Pocket CHIP,,
311,,,,
312,,,,
313,,,,
314,,,,
315,Arduboy,,,
316,Analogue Pocket,,,
317,,,,
318,Piboy dmg,Other,,
319,,,,
320,,,,
321,,,,
322,,,,
323,Arduboy,,,
324,,,,
325,,,,
326,,,,
327,Anbernic systems (RG552 ect),,,
328,,,,
329,Arduboy,,,
329,Anbernic systems (RG552 ect),,,
329,Retroid Pocket,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,Ouya???,OUYA,,
339,Arduboy,,,
340,Anbernic systems (RG552 ect),,,
340,Pocket Chip,Pocket CHIP,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,Raspberry PI with RetroPi,RetroPie,,
349,,,,
350,Analogue Pocket,,,
351,,,,
352,,,,
353,Anbernic systems (RG552 ect),,,
354,,,,
355,,,,
356,Retroid Pocket,,,
357,,,,
358,,,,
359,Analogue Pocket,,,
360,,,,
361,Analogue Pocket,,,
362,Analogue Pocket,,,
363,Arduboy,,,
363,Gamebuino Color,Other,,
363,Pocket Sprite,Pocket Sprite,,
364,,,,
365,,,,
366,Arduboy,,,
366,Anbernic systems (RG552 ect),,,
366,Atari VCS,Other,,
366,Evercade,Evercade,,
366,Aya Neo,Other,,
366,OneXPlayer,Other,,
367,Anbernic systems (RG552 ect),,,
367,Retroid Pocket,,,
368,Miyoo Mini,Miyoo Mini,,
369,Retroid Pocket,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,Arduboy,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,Anbernic systems (RG552 ect),,,
381,Retroid Pocket,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,Analogue Pocket,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,Arduboy,,,
393,gamebuino,Other,,
394,Anbernic systems (RG552 ect),,,
395,,,,
396,,,,
397,Retroid Pocket,,,
398,,,,
399,,,,
400,,,,
401,Anbernic systems (RG552 ect),,,
401,GameForce Chi,Other,,
402,,,,
403,,,,
404,,,,
405,Arduboy,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,Arduboy,,,
412,Milko Mini,Miyoo Mini,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,Playdate,Playdate,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,Anbernic systems (RG552 ect),,,
431,,,,
432,,,,
433,Arduboy,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,GameShell,Other,,
440,Play.Date,Playdate,,
441,,,,
442,,,,
443,Anbernic systems (RG552 ect),,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,Piboy dmg,Other,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,Polymega,Other,,
456,Analogue Pocket,,,
457,,,,
458,,,,
459,,,,
460,Analogue Pocket,,,
461,,,,
462,Arduboy,,,
462,Anbernic systems (RG552 ect),,,
463,,,,
464,Arduboy,,,
465,Arduboy,,,
465,Odroid Super,Other,,
466,,,,
467,Analogue Pocket,,,
467,Super Nt,Analogue Super Nt,,
467,Nt Mini Noir,Other,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,Retroid Pocket,,,
476,Arduboy,,,
477,,,,
478,,,,
479,Analogue Pocket,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,Arduboy,,,
485,,,,
486,,,,
487,,,,
488,Retroid Pocket,,,
488,Playdate,Playdate,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,Analogue Pocket,,,
495,Analogue Pocket,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,Modied Gameboy advanced,Modded Gameboy,,
502,,,,
503,,,,
504,,,,
505,Arduboy,,,
505,Anbernic systems (RG552 ect),,,
506,,,,
507,Anbernic systems (RG552 ect),,,
508,Anbernic systems (RG552 ect),,,
508,Retroid Pocket,,,
509,,,,
510,,,,
511,Anbernic systems (RG552 ect),,,
512,,,,
513,,,,
514,Ouya,OUYA,,
515,,,,
516,Anbernic systems (RG552 ect),,,
516,Retroid Pocket,,,
516,AYA Odin,Other,,
516,ODROID,Other,,
516,and many more,Other,,
517,Anbernic systems (RG552 ect),,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,Arduboy,,,
528,Retroid Pocket,,,
529,,,,
530,,,,
531,,,,
532,Arduboy,,,
533,,,,
534,,,,
535,,,,
536,Arduboy,,,
536,Ouya,OUYA,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,Arduboy,,,
556,Homebrew Raspberry Pi,RetroPie,,
557,,,,
558,Playdate 😜,Playdate,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,Anbernic systems (RG552 ect),,,
568,Retroid Pocket,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,Arduboy,,,
577,Pocket CHIP,Pocket CHIP,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,Arduboy,,,
584,Anbernic systems (RG552 ect),,,
585,Game and watch with CWF,Other,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,Retroid Pocket,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,Arduboy,,,
603,,,,
604,Arduboy,,,
605,Miyoo Mini V2,Miyoo Mini,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,Anbernic systems (RG552 ect),,,
615,Analogue Pocket,,,
616,Analogue Pocket,Analogue Pocket,,
617,Pocket CHIP,Pocket CHIP,,
617,MIYOO-Mini,Miyoo Mini,,
617,PiBoy DMG,Other,,
618,,,,
619,,,,
620,,,,
621,ODROID-GO,Other,,
622,,,,
623,,,,
624,,,,
625,Analogue Pocket,,,
626,,,,
627,,,,
628,,,,
629,Anbernic systems (RG552 ect),,,
630,,,,
631,Anbernic systems (RG552 ect),,,
632,,,,
633,,,,
634,,,,
635,Analogue Pocket,,,
636,Anbernic systems (RG552 ect),,,
636,Retroid Pocket,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,Arduboy,,,
643,Anbernic systems (RG552 ect),,,
644,Oculus Quest 2 (not exactly indie,Other,,
644,but it wasn't listed),Other,,
645,,,,
646,,,,
647,,,,
648,,,,
649,Arduboy,,,
649,Retroid Pocket,,,
649,Funkey S,Funkey S,,
649,Thumby,Thumby,,
649,Pocket Sprite,Pocket Sprite,,
649,Miyoo Mini,Miyoo Mini,,
650,,,,
651,,,,
