timestamp,fixed,have_playdate,have_ordered
7/1/2022 13:17:31,,False,True
7/1/2022 13:17:39,,True,True
7/1/2022 13:18:45,,True,True
7/1/2022 13:19:17,,False,True
7/1/2022 13:19:18,,False,True
7/1/2022 13:20:05,,True,True
7/1/2022 13:20:25,,True,True
7/1/2022 13:22:13,,True,True
7/1/2022 13:21:47,,False,True
7/1/2022 13:22:38,pullfrog,True,True
7/1/2022 13:23:08,wastebraver tiny survival tale,True,True
7/1/2022 13:24:18,,True,True
7/1/2022 13:24:35,,False,True
7/1/2022 13:25:04,,False,True
7/1/2022 13:26:26,,False,True
7/1/2022 13:26:43,,True,True
7/1/2022 13:28:10,mars after midnight,True,True
7/1/2022 13:29:37,,False,True
7/1/2022 13:30:30,,True,True
7/1/2022 13:30:44,,True,True
7/1/2022 13:30:50,mars after midnight,False,True
7/1/2022 13:34:16,,True,True
7/1/2022 13:34:20,playmaker,False,True
7/1/2022 13:34:36,,True,True
7/1/2022 13:35:15,mars after midnight,True,True
7/1/2022 13:36:01,,True,True
7/1/2022 13:37:17,,True,True
7/1/2022 13:37:31,bloom,False,True
7/1/2022 13:37:50,,False,False
7/1/2022 13:38:40,mars after midnight,True,True
7/1/2022 13:38:55,wastebraver tiny survival tale,True,True
7/1/2022 13:39:22,,True,True
7/1/2022 13:40:12,,True,True
7/1/2022 13:40:56,,True,True
7/1/2022 13:42:02,mars after midnight,False,False
7/1/2022 13:42:34,,True,True
7/1/2022 13:43:29,,False,False
7/1/2022 13:45:07,,False,True
7/1/2022 13:46:57,,True,True
7/1/2022 13:46:59,,False,True
7/1/2022 13:47:22,,True,True
7/1/2022 13:57:11,playmaker,True,True
7/1/2022 13:57:29,,False,True
7/1/2022 13:58:34,,True,True
7/1/2022 14:02:57,,True,True
7/1/2022 14:03:41,atlantic 41,True,True
7/1/2022 14:03:43,wastebraver tiny survival tale,False,True
7/1/2022 14:04:10,playmaker,True,True
7/31/2022 20:07:18,silver ball tactics,False,False
7/1/2022 14:06:34,,True,True
7/1/2022 14:07:21,bloom,False,True
7/1/2022 14:08:13,mars after midnight,True,True
7/1/2022 14:09:34,,False,True
7/1/2022 14:09:53,,False,True
7/1/2022 14:10:04,,True,True
7/1/2022 14:10:56,atlantic 41,True,True
7/1/2022 14:11:29,,True,True
7/1/2022 14:13:14,,True,True
7/1/2022 14:14:01,wastebraver tiny survival tale,True,True
7/1/2022 14:14:04,,False,True
7/1/2022 14:14:06,,False,True
7/1/2022 14:15:26,,False,True
7/1/2022 14:17:24,,True,True
7/1/2022 14:18:42,daily driver,True,True
7/1/2022 14:19:19,,True,True
7/1/2022 14:20:31,,True,True
7/1/2022 14:20:33,,True,True
7/1/2022 14:21:20,p-racing,True,True
7/1/2022 14:23:30,,True,True
7/1/2022 14:24:09,,False,True
7/1/2022 14:26:38,,False,True
7/1/2022 14:28:08,,True,True
7/1/2022 14:30:04,wastebraver tiny survival tale,True,True
7/1/2022 14:31:13,,True,True
7/1/2022 14:32:42,daily driver,True,True
7/1/2022 14:33:45,,True,True
7/1/2022 14:35:43,,True,True
7/1/2022 14:36:26,,True,True
7/1/2022 14:36:59,,False,True
7/1/2022 14:37:19,wastebraver tiny survival tale,True,True
7/1/2022 14:39:07,,True,True
7/1/2022 14:39:28,,True,True
7/1/2022 14:40:23,,True,True
7/1/2022 14:41:04,bloom,True,True
7/1/2022 14:43:16,bloom,True,True
7/1/2022 14:43:33,,False,False
7/1/2022 14:47:31,pullfrog,False,True
7/1/2022 14:47:41,other,True,True
7/1/2022 14:50:53,,True,True
7/1/2022 14:52:51,,True,True
7/1/2022 14:53:31,,False,True
7/1/2022 14:55:21,,True,True
7/1/2022 14:55:30,wastebraver tiny survival tale,True,True
7/1/2022 14:57:30,curry rock,True,True
7/1/2022 15:03:39,space kitsune,True,True
7/1/2022 15:03:50,other,True,True
7/1/2022 15:04:06,,True,True
7/1/2022 15:07:34,,False,True
7/1/2022 15:11:27,,True,True
7/1/2022 15:12:00,space kitsune,True,True
7/1/2022 15:12:36,,True,True
7/1/2022 15:13:23,mars after midnight,True,True
7/1/2022 15:13:48,giles goddard snowboarding,True,True
7/1/2022 15:16:13,,True,True
7/1/2022 15:16:34,grand tour legends,True,True
7/1/2022 15:16:46,wastebraver tiny survival tale,True,True
7/1/2022 15:17:15,,False,True
7/1/2022 15:17:48,,True,True
7/1/2022 15:22:28,,True,True
7/1/2022 15:23:32,,True,True
7/1/2022 15:25:43,,False,True
7/1/2022 15:26:06,other,False,False
7/1/2022 15:26:57,giles goddard snowboarding,True,True
7/1/2022 15:30:03,,True,True
7/1/2022 15:33:27,other,False,True
7/1/2022 15:30:05,,True,True
7/1/2022 15:31:43,,True,True
