timestamp,fixed,have_playdate,have_ordered
7/1/2022 15:35:28,casual birder,True,True
7/1/2022 15:42:15,saturday edition,True,True
7/1/2022 15:45:07,inventory hero,True,True
7/1/2022 15:49:25,forrest byrnes up in smoke,True,True
7/1/2022 15:49:52,pick pack pup,True,True
7/1/2022 15:50:19,crankins time travel adventure,True,True
7/1/2022 15:56:01,pick pack pup,True,True
7/1/2022 16:08:07,whitewater wipeout,True,True
7/1/2022 16:08:52,omaze,True,True
7/1/2022 16:45:16,pick pack pup,True,True
7/1/2022 16:55:55,casual birder,True,True
7/1/2022 16:58:39,saturday edition,True,True
7/1/2022 17:06:42,spellcorked,True,True
7/1/2022 17:15:57,zipper,True,True
7/1/2022 17:27:47,crankins time travel adventure,True,True
7/1/2022 17:34:48,hyper meteor,True,True
7/1/2022 17:38:26,,False,True
7/1/2022 17:39:30,echoic memory,True,True
7/1/2022 17:41:10,casual birder,True,True
7/1/2022 17:55:52,casual birder,True,True
7/1/2022 18:04:09,omaze,True,True
7/1/2022 18:19:59,crankins time travel adventure,True,True
7/1/2022 18:27:55,casual birder,True,True
7/1/2022 18:43:48,zipper,True,True
7/1/2022 18:57:59,pick pack pup,True,True
7/1/2022 19:02:23,whitewater wipeout,True,True
7/1/2022 19:02:23,crankins time travel adventure,True,True
7/1/2022 19:04:59,saturday edition,False,True
7/1/2022 19:08:04,omaze,True,True
7/1/2022 19:08:30,demon quest 85,True,True
7/1/2022 19:09:17,,True,True
7/1/2022 19:10:10,,False,True
7/1/2022 19:10:51,pick pack pup,True,True
7/1/2022 19:14:28,whitewater wipeout,True,True
7/1/2022 19:21:08,,False,True
7/1/2022 19:24:22,saturday edition,True,True
7/1/2022 19:24:25,ratcheteer,False,True
7/1/2022 19:41:11,inventory hero,True,True
7/1/2022 19:49:26,questy chess,True,True
7/1/2022 20:06:11,pick pack pup,True,True
7/1/2022 20:45:09,pick pack pup,True,True
7/1/2022 20:48:29,demon quest 85,False,True
7/1/2022 20:50:01,,False,False
7/1/2022 21:11:43,inventory hero,True,True
7/1/2022 21:25:58,pick pack pup,False,False
7/1/2022 22:13:20,whitewater wipeout,True,True
7/1/2022 22:32:13,hyper meteor,True,True
7/1/2022 22:59:09,zipper,False,False
7/1/2022 23:53:46,casual birder,True,True
7/1/2022 23:54:51,echoic memory,True,True
7/2/2022 0:08:34,pick pack pup,True,True
7/2/2022 0:27:29,whitewater wipeout,True,True
7/2/2022 0:28:26,pick pack pup,True,True
7/2/2022 0:56:40,crankins time travel adventure,False,True
7/2/2022 1:36:58,saturday edition,True,True
7/2/2022 1:37:27,star sled,True,True
7/2/2022 1:37:27,hyper meteor,True,True
7/2/2022 1:38:39,pick pack pup,True,True
7/2/2022 1:58:18,casual birder,True,True
7/2/2022 2:20:25,whitewater wipeout,True,True
7/2/2022 2:49:08,star sled,True,True
7/2/2022 2:49:23,pick pack pup,True,True
7/2/2022 2:49:23,omaze,True,True
7/2/2022 3:06:23,pick pack pup,True,True
7/2/2022 3:08:51,casual birder,True,True
7/2/2022 3:14:42,omaze,True,True
7/2/2022 3:47:55,whitewater wipeout,True,True
7/2/2022 3:52:14,star sled,True,True
7/2/2022 3:56:33,saturday edition,True,True
7/2/2022 4:13:20,pick pack pup,True,True
7/2/2022 4:15:30,pick pack pup,True,True
7/2/2022 4:48:34,spellcorked,False,True
7/2/2022 4:59:07,star sled,True,True
7/2/2022 6:18:43,crankins time travel adventure,True,True
7/2/2022 6:24:40,zipper,True,True
7/2/2022 6:26:34,crankins time travel adventure,True,True
7/2/2022 6:29:13,zipper,True,True
7/2/2022 7:00:39,omaze,True,True
7/2/2022 7:00:39,zipper,True,True
7/2/2022 7:11:08,zipper,True,True
7/2/2022 7:11:08,spellcorked,True,True
7/2/2022 7:22:58,zipper,True,True
7/2/2022 7:29:43,demon quest 85,True,True
7/2/2022 8:15:14,omaze,True,True
7/2/2022 8:44:44,crankins time travel adventure,True,True
7/2/2022 9:47:43,hyper meteor,True,True
7/2/2022 9:58:10,pick pack pup,True,True
7/2/2022 13:28:25,crankins time travel adventure,False,True
7/2/2022 14:23:15,whitewater wipeout,True,True
8/1/2022 6:31:29,saturday edition,True,True
8/1/2022 6:31:29,ratcheteer,True,True
7/2/2022 16:53:21,zipper,True,True
7/2/2022 16:53:21,ratcheteer,True,True
7/2/2022 16:56:55,casual birder,True,True
